epoch_utc,prn,elevation_deg,azimuth_deg
2023-04-04T10:00:00,G01,45.2,112.3
2023-04-04T10:00:00,G03,22.8,278.1
2023-04-04T10:00:00,G07,67.4,45.9
2023-04-04T10:00:00,G08,31.5,190.6
2023-04-04T10:00:00,G10,55.1,320.4
2023-04-04T10:00:00,G14,18.3,88.7
2023-04-04T10:00:00,G22,42.6,155.2
2023-04-04T10:00:00,G32,73.9,210.8
2023-04-04T10:00:00,E01,38.4,92.1
2023-04-04T10:00:00,E04,61.7,245.3
2023-04-04T10:00:00,E09,25.9,330.5
2023-04-04T10:00:00,E24,49.3,18.6
2023-04-04T10:00:30,G01,45.3,112.5
2023-04-04T10:00:30,G03,22.7,278.3
2023-04-04T10:00:30,G07,67.5,46.1
2023-04-04T10:00:30,G08,31.4,190.8
2023-04-04T10:00:30,G10,55.2,320.6
2023-04-04T10:00:30,G14,18.2,88.9
2023-04-04T10:00:30,G22,42.7,155.4
2023-04-04T10:00:30,G32,74.0,211.0
2023-04-04T10:00:30,E01,38.5,92.3
2023-04-04T10:00:30,E04,61.8,245.5
2023-04-04T10:00:30,E09,25.8,330.7
2023-04-04T10:00:30,E24,49.4,18.8
2023-04-04T10:01:00,G01,45.4,112.7
2023-04-04T10:01:00,G03,22.6,278.5
2023-04-04T10:01:00,G07,67.6,46.3
2023-04-04T10:01:00,G08,31.3,191.0
2023-04-04T10:01:00,G10,55.3,320.8
2023-04-04T10:01:00,G14,18.1,89.1
2023-04-04T10:01:00,G22,42.8,155.6
2023-04-04T10:01:00,G32,74.1,211.2
2023-04-04T10:01:00,E01,38.6,92.5
2023-04-04T10:01:00,E04,61.9,245.7
2023-04-04T10:01:00,E09,25.7,330.9
2023-04-04T10:01:00,E24,49.5,19.0
2023-04-04T10:01:30,G01,45.5,112.9
2023-04-04T10:01:30,G03,22.5,278.7
2023-04-04T10:01:30,G07,67.7,46.5
2023-04-04T10:01:30,G08,31.2,191.2
2023-04-04T10:01:30,G10,55.4,321.0
2023-04-04T10:01:30,G14,18.0,89.3
2023-04-04T10:01:30,G22,42.9,155.8
2023-04-04T10:01:30,G32,74.2,211.4
2023-04-04T10:01:30,E01,38.7,92.7
2023-04-04T10:01:30,E04,62.0,245.9
2023-04-04T10:01:30,E09,25.6,331.1
2023-04-04T10:01:30,E24,49.6,19.2
2023-04-04T10:02:00,G01,45.6,113.1
2023-04-04T10:02:00,G03,22.4,278.9
2023-04-04T10:02:00,G07,67.8,46.7
2023-04-04T10:02:00,G08,31.1,191.4
2023-04-04T10:02:00,G10,55.5,321.2
2023-04-04T10:02:00,G14,17.9,89.5
2023-04-04T10:02:00,G22,43.0,156.0
2023-04-04T10:02:00,G32,74.3,211.6
2023-04-04T10:02:00,E01,38.8,92.9
2023-04-04T10:02:00,E04,62.1,246.1
2023-04-04T10:02:00,E09,25.5,331.3
2023-04-04T10:02:00,E24,49.7,19.4
